title,file_path,char_count,word_count,over_50_chars,status,todo_marked,completion
首页,index.md,2779,126,True,exists,,has_content
先别慌，我们聊聊,before/prologue-the-start.md,1320,69,True,exists,,has_content
全站导览,before/overview.md,35,8,False,exists,,insufficient
核心原则,course/the-core.md,1870,115,True,exists,,has_content
完整课程导览,course/index.md,909,54,True,exists,,has_content
本部分导览,course/part1/index.md,589,38,True,exists,,has_content
第一章：思维模式转换,course/part1/ch1-mindset.md,1285,82,True,exists,,has_content
第二章：自我认知方法,course/part1/ch2-the-self.md,1305,85,True,exists,,has_content
本部分导览,course/part2/index.md,631,44,True,exists,,has_content
第三章：信息辨析能力,course/part2/ch3-information-filter.md,1324,108,True,exists,,has_content
第四章：信息获取入门,course/part2/ch4-info-gathering.md,1262,112,True,exists,,has_content
本部分导览,course/part3/index.md,591,35,True,exists,,has_content
第五章：设定探索方向,course/part3/ch5-the-output.md,995,100,True,exists,,has_content
第六章：低成本实践与验证,course/part3/ch6-the-test.md,1248,111,True,exists,,has_content
本部分导览,skills/index.md,3279,298,True,exists,False,todo
导览,skills/mindset/index.md,11,3,False,exists,False,todo
优绩主义,skills/mindset/fixed/meritocracy.md,2102,87,True,exists,False,todo
名校情节,skills/mindset/fixed/elite-complex.md,2830,153,True,exists,True,completed
做题家思维,skills/mindset/fixed/solver-mindset.md,1931,65,True,exists,False,todo
幸存者偏差,skills/mindset/bias/survivorship-bias.md,2661,115,True,exists,True,completed
确认偏差,skills/mindset/bias/confirmation-bias.md,2480,130,True,exists,True,completed
沉没成本,skills/mindset/bias/sunk-cost.md,2363,110,True,exists,True,completed
贝叶斯法则,skills/mindset/model/bayesian-thinking.md,2510,99,True,exists,False,todo
合作与博弈,skills/mindset/model/collaboration.md,0,0,False,empty,False,todo
冒名顶替综合征,skills/mindset/mental/impostor-syndrome.md,10,2,False,exists,False,todo
学会独处,skills/mindset/mental/learn-to-be-alone.md,2402,96,True,exists,,has_content
焦虑与内耗,skills/mindset/mental/anxiety-impostor.md,3027,119,True,exists,True,completed
导览,skills/learning/index.md,10,3,False,exists,False,todo
元学习,skills/learning/meta/meta-learning.md,6,2,False,exists,False,todo
信息输入,skills/learning/intake/information-intake.md,7,2,False,exists,False,todo
知识内化,skills/learning/consolidation/knowledge-consolidation.md,7,2,False,exists,False,todo
精力管理,skills/learning/energy/energy-management.md,0,0,False,empty,False,todo
导览,skills/communication/index.md,11,3,False,exists,False,todo
沟通技巧,skills/communication/skills/communication.md,0,0,False,empty,False,todo
构建人际关系网,skills/communication/skills/network-of-relationships.md,3787,151,True,exists,,has_content
团队协作,skills/communication/teamwork/teamwork.md,1593,81,True,exists,True,completed
人际矛盾处理,skills/communication/skills/dealing-conflicts.md,3328,140,True,exists,,has_content
导览,skills/tools/index.md,11,3,False,exists,False,todo
电脑认知,skills/tools/literacy/computer-basics.md,2642,171,True,exists,True,completed
高效打字,skills/tools/literacy/typing.md,1956,164,True,exists,True,completed
网络工具,skills/tools/literacy/network-proxy.md,0,0,False,empty,False,todo
云笔记,skills/tools/pkm/cloud-notes.md,6,2,False,exists,False,todo
协作文档,skills/tools/pkm/collaboration-docs.md,7,2,False,exists,False,todo
任务管理,skills/tools/pkm/task-management.md,7,2,False,exists,False,todo
Git,skills/tools/pro/git.md,2421,206,True,exists,False,todo
Linux,skills/tools/pro/linux.md,3568,268,True,exists,True,completed
LaTeX,skills/tools/pro/latex.md,0,0,False,empty,False,todo
Prompt Engineering,skills/tools/pro/prompt-engineering.md,4686,331,True,exists,True,completed
Docker,skills/tools/pro/docker.md,0,0,False,empty,,insufficient
导览与配置,skills/tools/vscode/index.md,0,0,False,empty,False,todo
插件推荐,skills/tools/vscode/extensions.md,0,0,False,empty,False,todo
导览,skills/growth/index.md,11,3,False,exists,False,todo
财商启蒙,skills/growth/finance/financial-literacy.md,7,2,False,exists,False,todo
聪明消费,skills/growth/finance/smart-spending.md,0,0,False,empty,False,todo
健康管理,skills/growth/health/healthy-management.md,2542,113,True,exists,True,completed
信息差,skills/growth/opportunity/information-gap.md,0,0,False,empty,False,todo
开源之旅,skills/growth/opportunity/open-source-journey.md,0,0,False,empty,False,todo
实验班解读,skills/growth/opportunity/innovation-classes.md,2964,171,True,exists,True,completed
职业规划,skills/growth/opportunity/career-planning.md,7,2,False,exists,False,todo
本部分导览,ncu/index.md,6,2,False,exists,,insufficient
